Thời gian,Nồng độ khí gas (ppm)
05:19:53,undefined
05:19:55,undefined
05:19:57,undefined
05:19:59,undefined
05:20:01,undefined
05:20:03,undefined
05:20:05,undefined
05:20:07,undefined
05:20:09,undefined
05:20:11,undefined
05:20:13,undefined
05:20:15,undefined
05:20:17,undefined
05:20:19,undefined
05:20:21,undefined
05:20:23,undefined
05:20:25,undefined
05:20:27,undefined
05:20:29,undefined
05:20:31,undefined
05:20:33,undefined
05:20:35,undefined
05:20:37,undefined
05:20:39,undefined
05:20:41,undefined
05:20:43,undefined
05:20:45,undefined
05:20:47,undefined
05:20:49,undefined
05:20:51,undefined
05:20:53,undefined
05:20:55,undefined
05:20:57,undefined
05:20:59,undefined
05:21:01,undefined
05:21:03,undefined
05:21:05,undefined
05:21:07,undefined
05:21:09,undefined
05:21:11,undefined
05:21:13,undefined
05:21:15,undefined
05:21:17,undefined
05:21:19,undefined
05:21:21,undefined
05:21:23,undefined
05:21:25,undefined
05:21:27,undefined
05:21:29,undefined
05:21:31,undefined
05:21:33,undefined
05:21:35,undefined
05:21:37,undefined
05:21:39,undefined
05:21:41,undefined
05:21:43,undefined
05:21:45,undefined
05:21:47,undefined
05:21:49,undefined
05:21:51,undefined
05:21:53,undefined
05:21:55,undefined
05:21:57,undefined
05:21:59,undefined
05:22:01,undefined
05:22:03,undefined
05:22:05,undefined
05:22:07,undefined
05:22:09,undefined
05:22:11,undefined
05:22:13,undefined
05:22:15,undefined
05:22:17,undefined
05:22:19,undefined
05:22:21,undefined
05:22:23,undefined
05:22:25,undefined
05:22:27,undefined
05:22:29,undefined
05:22:31,undefined
05:22:33,undefined
05:22:35,undefined
05:22:37,undefined
05:22:39,undefined
05:22:41,undefined
05:22:43,undefined
05:22:45,undefined
05:22:47,undefined
05:22:49,undefined
05:22:51,undefined
05:22:53,undefined
05:22:55,undefined
05:22:57,undefined
05:22:59,undefined
05:23:01,undefined
05:23:03,undefined
05:23:05,undefined
05:23:07,undefined
05:23:09,undefined
05:23:11,undefined
05:23:13,undefined
05:23:15,undefined
05:23:17,undefined
05:23:19,undefined
05:23:21,undefined
05:23:23,undefined
05:23:25,undefined
05:23:27,undefined
05:23:29,undefined
05:23:31,undefined
05:23:33,undefined
05:23:35,undefined
05:23:37,undefined
05:23:39,undefined
05:23:41,undefined
05:23:43,undefined
05:23:45,undefined
05:23:47,undefined
05:23:49,undefined
05:23:51,undefined
05:23:53,undefined
05:23:55,undefined
05:23:57,undefined
05:23:59,undefined
05:24:01,undefined
05:24:03,undefined
05:24:05,undefined
05:24:07,undefined
05:24:09,undefined
05:24:11,undefined
05:24:13,undefined
05:24:15,undefined
05:24:17,undefined
05:24:19,undefined
05:24:21,undefined
05:24:23,undefined
05:24:25,undefined
05:24:27,undefined
05:24:29,undefined
05:24:31,undefined
05:24:33,undefined
05:24:35,undefined
05:24:37,undefined
05:24:39,undefined
05:24:41,undefined
05:24:43,undefined
05:24:46,undefined
05:24:48,undefined
05:24:49,undefined
05:24:52,undefined
05:24:54,undefined
